rank,molecule,mapping,ansatz,gap,depth,2q_gates,balanced_score,baseline
1,BeH2,parity,uccsd,0.003576921107370179,1,1,0.003576921107370179,False
2,BeH2,bravyi_kitaev,uccsd,0.003585485266018207,1,1,0.003585485266018207,True
3,BeH2,jordan_wigner,uccsd,0.0036115115698236444,1,1,0.0036115115698236444,False
4,BeH2,jordan_wigner,hardware_efficient,0.006031971812028747,1,1,0.006031971812028747,False
5,BeH2,parity,hardware_efficient,0.005989918446579701,27,56,0.16172779805765192,False
6,BeH2,bravyi_kitaev,hardware_efficient,0.005997047929742205,27,56,0.16192029410303954,False
1,H2,parity,uccsd,7.665036605430942e-09,1,1,7.665036605430942e-09,False
2,H2,jordan_wigner,uccsd,1.1501330998697767e-09,91,56,1.0466211208814968e-07,True
3,H2,bravyi_kitaev,uccsd,1.4440519890968062e-08,70,38,1.0108363923677643e-06,False
4,H2,bravyi_kitaev,hardware_efficient,0.0022400566761366925,15,12,0.03360085014205039,False
5,H2,parity,hardware_efficient,0.007923135594276154,15,12,0.11884703391414231,False
1,HF,parity,uccsd,2.436935764293935e-09,1,1,2.436935764293935e-09,False
2,HF,jordan_wigner,uccsd,6.253122020183355e-09,1,1,6.253122020183355e-09,False
3,HF,bravyi_kitaev,uccsd,6.253124240629404e-09,1,1,6.253124240629404e-09,False
4,HF,jordan_wigner,hardware_efficient,0.0011536098977871223,15,12,0.017304148466806835,False
5,HF,bravyi_kitaev,hardware_efficient,0.0017628835622087724,15,12,0.026443253433131586,False
6,HF,parity,hardware_efficient,0.006177678051845659,15,12,0.09266517077768488,False
